"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=303",249.423704301844,264.084116237399,256.632451383835,285.953275254945,263.521751914698,311.691676845806,2,2
"iRep=305",261.749218412997,276.409630348552,255.007050838069,284.327874709178,258.920146990102,307.09007192121,3,2
"iRep=306",273.298184284901,287.958596220456,281.718084247308,311.038908118417,291.152345365209,339.322270296318,2,2
"iRep=307",273.56566639867,288.226078334224,275.96858635359,305.289410224699,283.048190958004,331.218115889112,2,2
"iRep=308",283.682216100517,298.342628036072,281.168057083891,310.488880955001,292.277003969941,340.446928901049,3,2
"iRep=309",271.234400242122,285.894812177677,272.027698281714,301.348522152823,286.65141226927,334.821337200378,2,2
"iRep=310",258.845172078078,273.505584013632,267.992714489604,297.313538360713,278.083501547183,326.253426478292,2,2
"iRep=311",256.624927544092,271.285339479647,265.108970791243,294.429794662352,274.335584890742,322.50550982185,2,2
"iRep=312",252.712941804777,267.373353740332,247.88219471103,277.20301858214,259.32152573321,307.491450664318,3,2
"iRep=313",274.775463732182,289.435875667737,274.093690909149,303.414514780259,286.233439527154,334.403364458262,3,2
"iRep=314",259.592271094192,274.252683029747,266.253669876679,295.574493747789,265.267661526247,313.437586457355,2,2
"iRep=315",274.761701749689,289.422113685243,278.892071888601,308.21289575971,285.796834250196,333.966759181304,2,2
"iRep=316",264.00359127142,278.664003206975,260.90951417839,290.230338049499,265.227701968313,313.397626899421,3,2
