"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=443",266.610156160369,281.270568095924,271.964115198703,301.284939069812,268.125367229179,316.295292160287,2,2
"iRep=444",261.781296856597,276.441708792151,270.571141580434,299.891965451544,272.339786519161,320.50971145027,2,2
"iRep=445",250.669241177732,265.329653113287,257.213408610331,286.534232481441,259.547762669513,307.717687600622,2,2
"iRep=446",258.568895224989,273.229307160544,264.451483663139,293.772307534248,277.622552965765,325.792477896873,2,2
"iRep=447",255.475543793581,270.135955729136,266.065472738239,295.386296609348,269.258552554547,317.428477485655,2,2
"iRep=448",248.664732830661,263.325144766216,245.092444656471,274.41326852758,259.062253740913,307.232178672022,3,2
"iRep=449",267.957917231315,282.61832916687,267.758014954828,297.078838825938,274.473806347861,322.643731278969,3,2
"iRep=450",255.995200577676,270.655612513231,264.964966969143,294.285790840253,272.54854384783,320.718468778938,2,2
"iRep=451",241.528598928836,256.189010864391,248.443552740269,277.764376611379,252.478671810302,300.648596741411,2,2
"iRep=452",264.011360281176,278.671772216731,272.95046419998,302.27128807109,282.6353436258,330.805268556908,2,2
"iRep=453",266.956839015999,281.617250951554,278.238064909955,307.558888781065,282.38917618569,330.559101116798,2,2
"iRep=454",256.249780712026,270.91019264758,264.377750534326,293.698574405436,272.835667979039,321.005592910148,2,2
"iRep=455",261.363959758411,276.024371693966,267.459348468536,296.780172339645,273.232599135957,321.402524067065,2,2
"iRep=456",268.254284435075,282.91469637063,268.346381722802,297.667205593911,279.142432450685,327.312357381793,2,2
"iRep=457",277.940392526552,292.600804462107,280.156311402858,309.477135273967,284.11020103008,332.280125961188,2,2
"iRep=458",249.986093864664,264.646505800219,261.91354471294,291.234368584049,271.107285458291,319.277210389399,2,2
"iRep=459",260.03356224831,274.693974183865,269.205687564643,298.526511435752,285.512870098192,333.6827950293,2,2
"iRep=460",263.503431262475,278.163843198029,271.447146401402,300.767970272511,280.335431391922,328.505356323031,2,2
"iRep=461",252.779189332162,267.439601267717,252.360224122914,281.681047994024,261.502693740905,309.672618672014,3,2
"iRep=462",263.938984042854,278.599395978409,269.0687429705,298.389566841609,286.761708882442,334.93163381355,2,2
"iRep=463",263.031411373548,277.691823309103,273.122428247906,302.443252119016,288.917848998611,337.087773929719,2,2
"iRep=464",247.88403488453,262.544446820085,257.702601698644,287.023425569753,264.062938026408,312.232862957516,2,2
"iRep=465",261.73726249793,276.397674433485,270.774240795418,300.095064666527,267.175903238437,315.345828169545,2,2
"iRep=466",295.22808586057,309.888497796125,291.877733894931,321.198557766041,284.288492299356,332.458417230464,4,2
"iRep=467",277.794275434836,292.454687370391,288.028149553731,317.348973424841,298.52295376432,346.692878695428,2,2
"iRep=468",245.379921402048,260.040333337602,252.705435199331,282.02625907044,261.166881191128,309.336806122236,2,2
"iRep=469",271.63882973754,286.299241673095,280.989515203692,310.310339074802,284.96543374098,333.135358672088,2,2
"iRep=470",257.550738173579,272.211150109133,266.95799943786,296.278823308969,270.963827586186,319.133752517294,2,2
"iRep=471",260.818609633769,275.479021569323,263.906762493881,293.22758636499,276.777752617673,324.947677548781,2,2
"iRep=472",253.701027615895,268.36143955145,253.305262349716,282.626086220826,271.274767942161,319.444692873269,3,2
"iRep=473",271.837176820343,286.497588755897,279.916803161805,309.237627032915,272.909177220524,321.079102151632,2,2
"iRep=474",248.524654763399,263.185066698954,253.714560869169,283.035384740279,259.362727582891,307.532652513999,2,2
"iRep=475",260.66460054032,275.325012475875,262.805878428158,292.126702299267,266.539074788413,314.708999719522,2,2
"iRep=476",273.112972972836,287.773384908391,271.446499340322,300.767323211432,276.407914560619,324.577839491727,3,2
"iRep=477",258.975403575776,273.635815511331,265.317310922268,294.638134793378,283.470439318992,331.6403642501,2,2
"iRep=478",268.799406294412,283.459818229967,274.312417426789,303.633241297898,281.479398635358,329.649323566466,2,2
"iRep=479",275.230098735849,289.890510671404,281.055207942819,310.376031813928,292.413308657064,340.583233588172,2,2
"iRep=480",264.555069466569,279.215481402124,269.634386520987,298.955210392096,280.940220177354,329.110145108463,2,2
"iRep=481",266.14064025936,280.801052194915,271.561639056486,300.882462927595,269.051596836233,317.221521767342,2,2
"iRep=482",262.933984562139,277.594396497694,270.0232015274,299.344025398509,282.880206568634,331.050131499742,2,2
"iRep=483",261.471240667908,276.131652603463,267.366793104771,296.68761697588,278.995485913764,327.165410844872,2,2
"iRep=484",245.470942872189,260.131354807744,247.367990259466,276.688814130576,253.082946908885,301.252871839994,2,2
"iRep=485",270.013733776903,284.674145712457,268.674249550732,297.995073421841,280.547289142333,328.717214073441,3,2
"iRep=486",266.388183258611,281.048595194166,272.7752415375,302.09606540861,281.12907178494,329.298996716048,2,2
"iRep=487",254.693158091204,269.353570026758,259.42985221392,288.75067608503,262.542312228498,310.712237159607,2,2
"iRep=488",252.425140055826,267.085551991381,257.97726311544,287.29808698655,263.149742917593,311.319667848702,2,2
"iRep=489",260.279727616028,274.940139551582,271.249354578415,300.570178449525,269.053483877986,317.223408809095,2,2
"iRep=490",256.041042896497,270.701454832051,257.900835436779,287.221659307889,269.475856155687,317.645781086796,2,2
"iRep=491",263.418601762305,278.07901369786,264.408968384193,293.729792255302,276.991404934394,325.161329865502,2,2
"iRep=492",266.884829222657,281.545241158212,275.26051285061,304.581336721719,284.483874013011,332.653798944119,2,2
"iRep=493",272.646545996194,287.306957931749,276.236543655028,305.557367526138,282.633447013981,330.803371945089,2,2
"iRep=494",279.761056390675,294.421468326229,282.87547144755,312.196295318659,297.213627062108,345.383551993216,2,2
"iRep=495",286.343148546924,301.003560482478,297.46503634992,326.785860221029,296.549695217458,344.719620148566,2,2
"iRep=496",277.312645066437,291.973057001991,288.287027400015,317.607851271124,299.016662569912,347.18658750102,2,2
"iRep=497",272.712482943366,287.372894878921,276.45988784391,305.780711715019,294.369505675683,342.539430606791,2,2
