"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=786",222.744987774237,233.216710585348,231.158293830343,254.196084014786,242.463473268496,282.256019950716,2,2
"iRep=787",229.236251507869,239.70797431898,238.641958500093,261.679748684536,249.820460170462,289.613006852682,2,2
"iRep=788",233.025746902603,243.497469713713,240.361015049543,263.398805233986,253.63084307788,293.4233897601,2,2
"iRep=789",210.918462596054,221.390185407164,222.241049636095,245.278839820538,238.792163602361,278.584710284581,2,2
"iRep=790",229.088942103075,239.560664914185,238.986253756081,262.024043940524,248.825224539577,288.617771221797,2,2
"iRep=791",229.812476576739,240.284199387849,239.503726709385,262.541516893828,253.092470708562,292.885017390781,2,2
"iRep=792",223.382223617184,233.853946428294,234.442493605021,257.480283789464,246.291816676168,286.084363358388,2,2
"iRep=793",217.590059586194,228.061782397305,224.670426760407,247.70821694485,242.646061539642,282.438608221862,2,2
"iRep=794",237.063958431557,247.535681242667,246.678289950561,269.716080135004,261.667147647404,301.459694329624,2,2
"iRep=795",205.913287767009,216.38501057812,216.128253609495,239.166043793938,230.610854847583,270.403401529802,2,2
"iRep=796",224.87419800202,235.34592081313,234.474181608038,257.511971792481,248.646960008267,288.439506690487,2,2
"iRep=797",225.561632216748,236.033355027859,234.164598768237,257.20238895268,246.219737732696,286.012284414916,2,2
"iRep=798",214.786536076589,225.258258887699,226.550007693155,249.587797877599,237.305798249484,277.098344931704,2,2
"iRep=799",184.085629627425,194.557352438535,191.714910866003,214.752701050446,206.711295291344,246.503841973564,2,2
"iRep=800",199.580572621256,210.052295432367,208.187183817746,231.224974002189,223.262618395184,263.055165077404,2,2
"iRep=801",212.903683247523,223.375406058633,216.710180837652,239.747971022095,228.336600701761,268.129147383981,2,2
"iRep=802",208.137705722687,218.609428533798,218.049272214765,241.087062399208,232.838832100663,272.631378782883,2,2
"iRep=803",231.28114221479,241.7528650259,235.877223577506,258.915013761949,251.242811709191,291.035358391411,2,2
"iRep=804",216.521436492356,226.993159303467,225.121559104991,248.159349289434,241.74769618725,281.54024286947,2,2
"iRep=805",185.951668036753,196.423390847864,196.147298895644,219.185089080087,212.333370421206,252.125917103426,2,2
"iRep=806",231.881047847986,242.352770659097,238.173924638764,261.211714823207,251.515216313213,291.307762995432,2,2
"iRep=807",216.97304826537,227.44477107648,228.942327804367,251.98011798881,244.963736307668,284.756282989888,2,2
"iRep=808",229.703002875138,240.174725686248,236.520164423496,259.557954607939,239.890820712843,279.683367395063,2,2
"iRep=809",196.626547379981,207.098270191092,205.389448149811,228.427238334254,218.099457158855,257.892003841074,2,2
"iRep=810",229.318597484188,239.790320295298,237.258166370749,260.295956555192,250.928985219574,290.721531901794,2,2
"iRep=811",243.753826048458,254.225548859568,251.498572811512,274.536362995955,259.784483334577,299.577030016797,2,2
"iRep=812",226.388363775487,236.860086586598,232.428621642115,255.466411826558,245.523401694671,285.315948376891,2,2
"iRep=813",223.304886580604,233.776609391714,235.356392353549,258.394182537992,246.143392004791,285.93593868701,2,2
"iRep=814",223.775558755322,234.247281566433,232.981799705177,256.01958988962,245.134728405022,284.927275087242,2,2
"iRep=815",217.854765773578,228.326488584688,227.835306691504,250.873096875947,239.152286941611,278.944833623831,2,2
"iRep=816",217.597078713154,228.068801524264,228.747820937962,251.785611122405,242.125621994834,281.918168677054,2,2
"iRep=817",226.246442506961,236.718165318072,236.204242582082,259.242032766525,248.700422224685,288.492968906905,2,2
"iRep=818",227.563518706422,238.035241517532,230.044928675991,253.082718860434,245.011868007086,284.804414689306,2,2
"iRep=819",217.533867207727,228.005590018838,226.725268514988,249.763058699431,236.914496746693,276.707043428913,2,2
"iRep=820",202.484650838458,212.956373649569,214.485351342326,237.523141526769,230.447842748587,270.240389430807,2,2
"iRep=821",235.184394095279,245.65611690639,245.075138989013,268.112929173456,259.008434271913,298.800980954133,2,2
"iRep=822",217.020865460255,227.492588271365,217.260625814869,240.298415999312,232.224004748097,272.016551430317,2,2
"iRep=823",220.9093873147,231.38111012581,231.206855996244,254.244646180687,241.113840802936,280.906387485156,2,2
"iRep=824",222.27216843693,232.74389124804,229.094107740858,252.131897925301,239.083327170165,278.875873852385,2,2
"iRep=825",227.770760834288,238.242483645398,236.660471513741,259.698261698184,251.795787355017,291.588334037237,2,2
"iRep=826",235.936303119477,246.408025930588,240.424103606226,263.461893790669,255.798800425596,295.591347107816,2,2
"iRep=827",250.705154060275,261.176876871386,258.792420232429,281.830210416873,272.323761102849,312.116307785068,2,2
"iRep=828",191.864128114074,202.335850925184,196.467032987827,219.50482317227,211.093003547084,250.885550229304,2,2
"iRep=829",212.600537010282,223.072259821392,219.152782869383,242.190573053826,230.418058070358,270.210604752578,2,2
"iRep=830",225.226514244733,235.698237055843,237.108741200851,260.146531385294,250.492247005059,290.284793687279,2,2
"iRep=831",231.199893562841,241.671616373951,235.744532448639,258.782322633082,248.03352389382,287.82607057604,2,2
"iRep=832",234.272688745031,244.744411556141,244.743889764665,267.781679949108,257.990796996712,297.783343678932,2,2
"iRep=833",236.365971206547,246.837694017657,247.453698623914,270.491488808357,263.893107372514,303.685654054734,2,2
"iRep=834",217.485236704353,227.956959515464,227.192388970125,250.230179154568,233.37578522211,273.168331904329,2,2
"iRep=835",222.552300281114,233.024023092224,231.723899879401,254.761690063844,245.372525968736,285.165072650956,2,2
"iRep=836",230.343675852459,240.81539866357,242.361842087337,265.39963227178,251.398122243405,291.190668925625,2,2
"iRep=837",208.71897420926,219.19069702037,217.428803977473,240.466594161916,231.647725810197,271.440272492417,2,2
"iRep=838",202.395608991816,212.867331802926,209.317085329491,232.354875513934,223.623570028557,263.416116710777,2,2
